section,table_name,source_path,source_kind,calculation_script,positive_class,split_scope,current_scope,recomputable,audit_status,max_abs_error,notes
Set-A model comparison,Set-A source-only construction models,outputs\transformer\supplemental\chapter4_evidence_frozen_final\tables\seta_construction_source_only_models.csv,csv,supplemental_transformer_experiments.chapter4_evidence,acceptable=1; unacceptable/poor=0,Set-A seed0 held-out test; validation threshold only,current_frozen_final,True,pass,3.469446951953614e-18,confusion-derived acc/Se/Sp/balanced_acc recomputed
Set-A model comparison,Set-A repaired setup models,outputs\transformer\supplemental\chapter4_evidence_frozen_final\tables\seta_repaired_model_comparison.csv,csv,supplemental_transformer_experiments.chapter4_evidence,acceptable=1; unacceptable/poor=0,Set-A seed0 held-out test; validation threshold only,current_frozen_final,True,pass,1.1102230246251565e-16,confusion-derived acc/Se/Sp/balanced_acc recomputed
Set-A data repair,fixed_synthetic paper source audit,outputs\transformer\supplemental\chapter4_evidence_frozen_final\seta_arms\fixed_synthetic\splits\split.csv,csv,supplemental_transformer_experiments.chapter4_evidence,n/a,fixed_synthetic arm train generated rows,current_frozen_final,True,pass,0.0,"generated_n=383; nontrain_generated=0; candidate_counts={'paper_em': 192, 'paper_ma': 191}; paper_source=outputs\sqi_paper_aligned\splits\split_seta_seed0_paper_balanced.csv; nonpaper_ids=[]"
Set-A model comparison,Set-A construction original-only eval scope,outputs\transformer\supplemental\chapter4_evidence_frozen_final\seta_arms,split csvs,supplemental_transformer_experiments.chapter4_evidence,acceptable=1; unacceptable/poor=0,all construction arms use original-only validation and original-only held-out test,current_frozen_final,True,pass,0.0,"native_imbalanced: {'val_generated': 0, 'test_generated': 0, 'val_accept': 116, 'val_unaccept': 34, 'test_accept': 116, 'test_unaccept': 33}; fixed_synthetic: {'val_generated': 0, 'test_generated': 0, 'val_accept': 116, 'val_unaccept': 34, 'test_accept': 116, 'test_unaccept': 33}; quota_draw: {'val_generated': 0, 'test_generated': 0, 'val_accept': 116, 'val_unaccept': 34, 'test_accept': 116, 'test_unaccept': 33}; smc_gapfill: {'val_generated': 0, 'test_generated': 0, 'val_accept': 116, 'val_unaccept': 34, 'test_accept': 116, 'test_unaccept': 33}"
BUT/v116,candidate composition,outputs\transformer\supplemental\chapter4_evidence_frozen_final\tables\but_candidate_type_composition.csv,csv,supplemental_transformer_experiments.chapter4_evidence,n/a,full v116 protocol by class,current_frozen_final,True,pass,0.0,pct_within_class recomputed from size within class
BUT/v116,official record-heldout split,outputs\transformer\v116_e31\analysis\good_medium_geometry_repair\event_factorized_sqi_conformer\rh_splits\v116_gapfill_dual_goodorig_nm40__k1_s20260876\fold0\original_region_atlas.csv,csv,supplemental_transformer_experiments.chapter4_evidence,n/a,official fold0 split; train balanced; val/test original only,current_frozen_final,True,pass,0.0,val/test generated rows=0; val/test candidate types=['original_but']; raw protocol split column is not used for leakage audit
BUT/v116,BUT model metrics,outputs\transformer\supplemental\chapter4_evidence_frozen_final\tables\but_model_comparison.csv,csv,supplemental_transformer_experiments.chapter4_evidence,SQI baselines: good=1; E31 poor_vs_rest: poor=1,official v116 fold0 held-out test,current_frozen_final,True,pass,1.1102230246251565e-16,confusion and E31 npz metrics recomputed
BUT/v116,good-medium boundary audit,outputs\transformer\supplemental\chapter4_evidence_frozen_final\tables\but_good_medium_boundary_audit.csv,csv,supplemental_transformer_experiments.chapter4_evidence,n/a,official v116 original-only held-out test; three-class confusion,current_frozen_final,True,pass,0.0,boundary counts recomputed from three-class confusion
figures,fig_D3_seta_ours_vs_paper_em_ma_distribution,outputs\transformer\supplemental\chapter4_evidence_frozen_final\figures\source_data\fig_D3_seta_ours_vs_paper_em_ma_pca.csv,figure/source-data,supplemental_transformer_experiments.chapter4_evidence,n/a,chapter4 figure export,current_frozen_final,True,pass,0.0,all png/svg/pdf/tiff plus source data exist
figures,fig_D4_but_medium_bad_gapfill_distribution,outputs\transformer\supplemental\chapter4_evidence_frozen_final\figures\source_data\fig_D4_but_medium_bad_pca.csv,figure/source-data,supplemental_transformer_experiments.chapter4_evidence,n/a,chapter4 figure export,current_frozen_final,True,pass,0.0,all png/svg/pdf/tiff plus source data exist
figures,fig_D5_but_v116_generation_examples,outputs\transformer\supplemental\chapter4_evidence_frozen_final\figures\source_data\fig_D5_but_v116_generation_examples_source_data.csv,figure/source-data,supplemental_transformer_experiments.chapter4_evidence,n/a,chapter4 figure export,current_frozen_final,True,pass,0.0,all png/svg/pdf/tiff plus source data exist
figures,fig_M3_but_good_medium_boundary_audit,outputs\transformer\supplemental\chapter4_evidence_frozen_final\figures\source_data\fig_M3_boundary_counts.csv,figure/source-data,supplemental_transformer_experiments.chapter4_evidence,n/a,chapter4 figure export,current_frozen_final,True,pass,0.0,all png/svg/pdf/tiff plus source data exist
figures,fig_M4_but_mlp_error_conformer_correct_examples,outputs\transformer\supplemental\chapter4_evidence_frozen_final\figures\source_data\fig_M4_mlp_error_conformer_correct_examples.csv,figure/source-data,supplemental_transformer_experiments.chapter4_evidence,n/a,chapter4 figure export,current_frozen_final,True,pass,0.0,all png/svg/pdf/tiff plus source data exist
artifact search,untraceable 0.529 dual-AUC memory,outputs\transformer\supplemental\chapter4_evidence_frozen_final\reports\chapter4_raw_results_report.md,md,manual historical artifact search plus current report scan,generated-vs-original dual audit would use generated=1,v116 medium/bad only,historical_unverified,False,pass,,"No traceable current artifact for 0.529 is used here; current report must not cite it. If needed, rerun a separate data-repair experiment rather than reuse memory."
